x	y1	y2	y2err	y3	y3err	bx	by	bz	temp	power	bandwidth
0.008683502	3721233333.0	68.4622341897556	0.33649972934838257	41.468848738543194	0.19323921731534052	0.099619556	0.001980327002	0.008683502	0.02531	-20.0	10.0
0.017380109	3721633333.0	95.19085515380891	0.7908917897316867	211.6584113867337	1.5443279713268379	0.098481358	0.002057926999	0.017380109	0.02452	-20.0	10.0
0.02588616	3721666667.0	69.23903624065726	0.35564184633238577	39.41133698368282	0.18403679456151928	0.096587813	0.00214745	0.02588616	0.024265	-20.0	10.0
0.03416279	3722066667.0	101.17262866419354	0.8794799745214308	260.18966281006385	1.8800151663498677	0.093967205	0.002219828941	0.03416279	0.024432	-20.0	10.0
0.042291645	3722500000.0	122.91247229761501	1.3136690101509119	478.8872176930393	3.994871405222225	0.090632929	0.002261395439	0.042291645	0.024209	-20.0	10.0
0.049962862	3723066667.0	163.94628787120342	2.238800896706934	1043.0944058455304	10.264743208947502	0.086606999	0.002304156999	0.049962862	0.024476	-20.0	10.0
0.057392608	3723466667.0	209.1863959957803	3.2739021675716695	1841.7851660334002	19.721277670389952	0.081920146	0.002318771999	0.057392608	0.024864	-20.0	10.0
0.064286234	3723900000.0	273.0242584588231	4.950283316236906	3208.1334894787365	38.863607511406734	0.076602768	0.0023160367	0.064286234	0.0247	-20.0	10.0
0.070749791	3724333333.0	327.75250294013927	6.377516044036361	4537.5185204252	58.519319017897544	0.070706519	0.00228352	0.070749791	0.024573	-20.0	10.0
0.076626614	3725066667.0	360.3252520155768	7.597673321761641	5402.895860483228	72.90821302253511	0.064283503	0.002235164642	0.076626614	0.024336	-20.0	10.0
0.081888534	3725433333.0	374.2407469922889	7.945506117544888	5737.229513410716	77.4579682880567	0.057360294	0.002166703902	0.081888534	0.024164	-20.0	10.0
0.086628948	3726066667.0	425.34387150928967	10.350620906399442	7050.2124459780425	102.48481740705058	0.049997	0.002092137499	0.086628948	0.024329	-20.0	10.0
0.090645849	3726566667.0	435.61099872523494	10.763245497318756	7256.375148269674	108.03441737399604	0.042267337	0.001990015848	0.090645849	0.024795	-20.0	10.0
0.093958519	3726700000.0	430.3352479555533	10.429735004286142	7164.116641495247	105.2120690746513	0.034207331	0.001854153999	0.093958519	0.024453	-20.0	10.0
0.096597087	3726966667.0	425.60248265286856	10.377767078327363	7118.405203322037	102.47220877139239	0.025876829	0.001702967	0.096597087	0.024818	-20.0	10.0
0.098448573	3726900000.0	414.17663738042506	9.363869564035088	6899.2482476946525	92.57087284442817	0.017359165	0.001539264999	0.098448573	0.024725	-20.0	10.0
0.099614508	3727300000.0	435.0420440752381	11.080880725702459	7248.352114679476	109.24132216084244	0.008718768	0.001383617701	0.099614508	0.024766	-20.0	10.0
0.100003604	3726966667.0	405.3550245072065	8.656932397099531	6739.195660272146	87.05586123535095	-1.615e-06	0.001184521999	0.100003604	0.024474	-20.0	10.0
